date,exAAARF,exBAARF,Y
3/1/40,0.00235,0.003983333,0.013561
4/1/40,0.002333333,0.003933333,-0.004478
5/1/40,0.002391667,0.004066667,-0.23128
6/1/40,0.002383333,0.004175,0.083035
7/1/40,0.002358333,0.003958333,0.03299
8/1/40,0.002341667,0.003933333,0.035521
9/1/40,0.002308333,0.003841667,0.014221
10/1/40,0.002308333,0.003783333,0.041468
11/1/40,0.002275,0.003716667,-0.029431
12/1/40,0.002241667,0.003691667,0.002927
1/1/41,0.002275,0.003633333,-0.045455
2/1/41,0.002283333,0.00365,-0.004629
3/1/41,0.002241667,0.003558333,0.008772
4/1/41,0.002266667,0.003525,-0.062052
5/1/41,0.00225,0.003508333,0.013184
6/1/41,0.002208333,0.003491667,0.058851
7/1/41,0.002183333,0.003466667,0.056806
8/1/41,0.002175,0.00345,-0.001213
9/1/41,0.002208333,0.0035,-0.007451
10/1/41,0.0022,0.003491667,-0.064602
11/1/41,0.002033333,0.003333333,-0.024916
12/1/41,0.002058333,0.003375,-0.038943
1/1/42,0.002133333,0.00335,0.022076
2/1/42,0.002166667,0.003366667,-0.017747
3/1/42,0.002175,0.003375,-0.064168
4/1/42,0.002091667,0.003283333,-0.038088
5/1/42,0.002066667,0.00325,0.070039
6/1/42,0.002066667,0.0033,0.023344
7/1/42,0.002041667,0.003266667,0.035731
8/1/42,0.002025,0.00325,0.015046
9/1/42,0.002016667,0.003233333,0.032149
10/1/42,0.002016667,0.003216667,0.067567
11/1/42,0.002008333,0.003225,-0.004692
12/1/42,0.002025,0.00325,0.057237
1/1/43,0.002008333,0.00315,0.072134
2/1/43,0.001991667,0.003083333,0.058203
3/1/43,0.001983333,0.003025,0.059104
4/1/43,0.001983333,0.002983333,0.003288
5/1/43,0.001966667,0.002941667,0.052398
6/1/43,0.00195,0.002916667,0.021389
7/1/43,0.001925,0.002858333,-0.053392
8/1/43,0.001925,0.002858333,0.015932
9/1/43,0.001925,0.002875,0.027198
10/1/43,0.001933333,0.002866667,-0.01195
11/1/43,0.001941667,0.002875,-0.067352
12/1/43,0.001966667,0.002866667,0.070005
1/1/44,0.00195,0.002816667,0.018322
2/1/44,0.001966667,0.002783333,0.006179
3/1/44,0.001966667,0.002766667,0.021113
4/1/44,0.001966667,0.00275,-0.012727
5/1/44,0.001958333,0.002708333,0.048541
6/1/44,0.001958333,0.002675,0.054274
7/1/44,0.00195,0.002658333,-0.01977
8/1/44,0.001941667,0.002641667,0.0144
9/1/44,0.00195,0.00265,-0.000892
10/1/44,0.00195,0.002641667,0.002135
11/1/44,0.00195,0.002625,0.017027
12/1/44,0.001933333,0.002591667,0.044578
1/1/45,0.001925,0.002566667,0.011601
2/1/45,0.001891667,0.002525,0.069272
3/1/45,0.001866667,0.0025,-0.041885
4/1/45,0.001858333,0.002483333,0.090224
5/1/45,0.001866667,0.00245,0.019741
6/1/45,0.001858333,0.002425,0.00218
7/1/45,0.00185,0.0024,-0.021839
8/1/45,0.001858333,0.0024,0.059552
