"","date","z_minus_3","z_minus_2","z_minus_1","z_0","z_1","z_2","z_3","Y"
"1",1930-01-01,NA,NA,NA,NA,NA,NA,NA,0.058232
"2",1930-02-01,NA,NA,NA,NA,NA,NA,NA,0.023041
"3",1930-03-01,NA,NA,NA,NA,NA,NA,NA,0.068848
"4",1930-04-01,NA,NA,NA,NA,NA,NA,NA,-0.016038
"5",1930-05-01,NA,NA,NA,NA,NA,NA,NA,-0.013748
"6",1930-06-01,NA,NA,NA,NA,NA,NA,NA,-0.158415
"7",1930-07-01,NA,NA,NA,NA,NA,NA,NA,0.036713
"8",1930-08-01,NA,NA,NA,NA,NA,NA,NA,0.010366
"9",1930-09-01,NA,NA,NA,NA,NA,NA,NA,-0.125749
"10",1930-10-01,NA,NA,NA,NA,NA,NA,NA,-0.08458
"11",1930-11-01,NA,NA,NA,NA,NA,NA,NA,-0.021036
"12",1930-12-01,NA,NA,NA,NA,NA,NA,NA,-0.072879
"13",1931-01-01,-0.0246605693939954,-0.0246605688752904,-0.0246605636109391,-0.0246605110133801,-0.0246599903558781,-0.0246552658754606,-0.0246317602613139,0.058027
"14",1931-02-01,-0.0247490482511772,-0.0247490470854851,-0.0247490354342694,-0.0247489190390428,-0.0247477666178412,-0.024737289672506,-0.0246846444307964,0.110543
"15",1931-03-01,-0.0172822235258721,-0.0172822239237048,-0.017282227857783,-0.0172822671579141,-0.0172826565659236,-0.0172862218858397,-0.0173048334506234,-0.070239
"16",1931-04-01,-0.0290994979149818,-0.0290994962712088,-0.0290994798869686,-0.0290993162138534,-0.0290976957290124,-0.0290829661111579,-0.0290090260650096,-0.093755
"17",1931-05-01,-0.0374213956426334,-0.037421377452823,-0.0374211956463406,-0.0374193793837918,-0.0374013944765056,-0.0372377047356778,-0.0364101712611528,-0.138574
"18",1931-06-01,-0.0453285582661585,-0.0453285624190867,-0.0453286038803867,-0.0453290180841377,-0.045333120227645,-0.0453705092495105,-0.04556104060893,0.145692
"19",1931-07-01,-0.0197243487915327,-0.0197243552217433,-0.0197244195148719,-0.0197250618242605,-0.0197314233577756,-0.0197894307863814,-0.02008571121179,-0.076065
"20",1931-08-01,-0.0293706308593842,-0.0293706350922945,-0.0293706774190717,-0.0293711002793927,-0.0293752885130406,-0.0294134920013898,-0.0296089861220574,0.007479
"21",1931-09-01,-0.029386227698641,-0.0293862339319449,-0.0293862962673135,-0.0293869190183954,-0.029393086770114,-0.0294493210754012,-0.0297363753330079,-0.287761
"22",1931-10-01,-0.0431314344205164,-0.0431314380155019,-0.0431314785602257,-0.0431318840769247,-0.043135900624163,-0.0431725421377068,-0.0433601600910647,0.075738
"23",1931-11-01,-0.029707735268926,-0.0297077399723497,-0.0297077869822772,-0.0297082566187953,-0.0297129073576016,-0.029755263793944,-0.0299702245385479,-0.102609
"24",1931-12-01,-0.0364725543590643,-0.0364725592576191,-0.0364726082018403,-0.0364730971710058,-0.0364779403742774,-0.0365221341924245,-0.0367486977320612,-0.138757
"25",1932-01-01,-0.0420974625890427,-0.042097466268274,-0.0420975031015143,-0.042097871088172,-0.0421015162695287,-0.0421348034804681,-0.0423061761103526,-0.021103
"26",1932-02-01,-0.0488192907955103,-0.0488192934068716,-0.048819319582771,-0.0488195810954175,-0.0488221711843111,-0.0488457910652648,-0.0489665087389186,0.051281
"27",1932-03-01,-0.0535773105599028,-0.053577314750657,-0.0535773566612661,-0.0535777753645367,-0.0535819224331263,-0.0536197511234115,-0.05381334381607,-0.120507
"28",1932-04-01,-0.0577201849047246,-0.0577201895563179,-0.0577202360550462,-0.0577207005877985,-0.0577253010312316,-0.0577672197729196,-0.0579804903674306,-0.206395
"29",1932-05-01,-0.0675014390189126,-0.067501440195739,-0.0675014519918946,-0.0675015698390267,-0.0675027366942058,-0.0675133496227114,-0.0675667917364229,-0.232723
"30",1932-06-01,-0.0754925515444788,-0.075492551449506,-0.0754925505117108,-0.0754925411400176,-0.0754924479293875,-0.0754915653506528,-0.0754861722619226,0.002568
"31",1932-07-01,-0.0874610759618893,-0.0874610754479196,-0.0874610703085952,-0.0874610189666618,-0.0874605106284843,-0.0874558887983342,-0.0874326578116954,0.391538
"32",1932-08-01,-0.0484105495189867,-0.048410549714892,-0.0484105519693141,-0.0484105745226119,-0.0484107980287609,-0.04841284695531,-0.0484235949829302,0.401679
"33",1932-09-01,-0.0158312857104386,-0.015831283473475,-0.0158312611936947,-0.0158310386287783,-0.0158288351673051,-0.0158088143861718,-0.0157085161592472,-0.029826
"34",1932-10-01,0.0059300665144081,0.00593006629834422,0.00593006413564732,0.00593004253045846,0.00592982865721307,0.00592788767754762,0.00591825789371783,-0.142269
