,date,z_minus_3,z_minus_2,z_minus_1,z_0,z_1,z_2,z_3,Y,,,,,,,,,,,,,,,,
55,7/1/34,NA,NA,NA,NA,NA,NA,NA,-0.119946,,,,,,,,,,,,,,,,
56,8/1/34,NA,NA,NA,NA,NA,NA,NA,0.05855,,,,,,,,,,,,,,,,
57,9/1/34,NA,NA,NA,NA,NA,NA,NA,-0.000316,,,,,,,,,,,,,,,,
58,10/1/34,NA,NA,NA,NA,NA,NA,NA,-0.032763,,,,,,,,,,,,,,,,
59,11/1/34,NA,NA,NA,NA,NA,NA,NA,0.085959,,,,,,,,,,,,,,,,
60,12/1/34,NA,NA,NA,NA,NA,NA,NA,-0.000781,,,,,,,,,,,,,,,,
61,1/1/35,NA,NA,NA,NA,NA,NA,NA,-0.042468,,,,,,,,,,,,,,,,
62,2/1/35,NA,NA,NA,NA,NA,NA,NA,-0.03704,,,,,,,,,,,,,,,,
63,3/1/35,NA,NA,NA,NA,NA,NA,NA,-0.031554,,,,,,,,,,,,,,,,
64,4/1/35,NA,NA,NA,NA,NA,NA,NA,0.096393,,,,,,,,,,,,,,,,
65,5/1/35,NA,NA,NA,NA,NA,NA,NA,0.038035,,,,,,,,,,,,,,,,
66,6/1/35,NA,NA,NA,NA,NA,NA,NA,0.070433,,,,,,,,,,,,,,,,
67,7/1/35,NA,NA,NA,NA,NA,NA,NA,0.083714,,,,,,,,,,,,,,,,
68,8/1/35,NA,NA,NA,NA,NA,NA,NA,0.026469,,,,,,,,,,,,,,,,
69,9/1/35,NA,NA,NA,NA,NA,NA,NA,0.025426,,,,,,,,,,,,,,,,
70,10/1/35,NA,NA,NA,NA,NA,NA,NA,0.071703,,,,,,,,,,,,,,,,
71,11/1/35,NA,NA,NA,NA,NA,NA,NA,0.051743,,,,,,,,,,,,,,,,
72,12/1/35,NA,NA,NA,NA,NA,NA,NA,0.039787,,,,,,,,,,,,,,,,
73,1/1/36,NA,NA,NA,NA,NA,NA,NA,0.071732,,,,,,,,,,,,,,,,
74,2/1/36,NA,NA,NA,NA,NA,NA,NA,0.022361,,,,,,,,,,,,,,,,
75,3/1/36,NA,NA,NA,NA,NA,NA,NA,0.023829,,,,,,,,,,,,,,,,
76,4/1/36,NA,NA,NA,NA,NA,NA,NA,-0.077788,,,,,,,,,,,,,,,,
77,5/1/36,NA,NA,NA,NA,NA,NA,NA,0.052906,,,,,,,,,,,,,,,,
78,6/1/36,NA,NA,NA,NA,NA,NA,NA,0.032242,,,,,,,,,,,,,,,,
79,7/1/36,NA,NA,NA,NA,NA,NA,NA,0.073342,,,,,,,,,,,,,,,,
80,8/1/36,NA,NA,NA,NA,NA,NA,NA,0.013924,,,,,,,,,,,,,,,,
81,9/1/36,NA,NA,NA,NA,NA,NA,NA,0.004717,,,,,,,,,,,,,,,,
82,10/1/36,NA,NA,NA,NA,NA,NA,NA,0.076081,,,,,,,,,,,,,,,,
83,11/1/36,NA,NA,NA,NA,NA,NA,NA,0.010566,,,,,,,,,,,,,,,,
84,12/1/36,NA,NA,NA,NA,NA,NA,NA,-0.00383,,,,,,,,,,,,,,,,
85,1/1/37,NA,NA,NA,NA,NA,NA,NA,0.036548,,,,,,,,,,,,,,,,
86,2/1/37,NA,NA,NA,NA,NA,NA,NA,0.018283,,,,,,,,,,,,,,,,
87,3/1/37,NA,NA,NA,NA,NA,NA,NA,-0.003611,,,,,,,,,,,,,,,,
88,4/1/37,NA,NA,NA,NA,NA,NA,NA,-0.080946,,,,,,,,,,,,,,,,
89,5/1/37,NA,NA,NA,NA,NA,NA,NA,-0.006299,,,,,,,,,,,,,,,,
90,6/1/37,NA,NA,NA,NA,NA,NA,NA,-0.054103,,,,,,,,,,,,,,,,
91,7/1/37,NA,NA,NA,NA,NA,NA,NA,0.098691,,,,,,,,,,,,,,,,
92,8/1/37,NA,NA,NA,NA,NA,NA,NA,-0.051383,,,,,,,,,,,,,,,,
93,9/1/37,NA,NA,NA,NA,NA,NA,NA,-0.14001,,,,,,,,,,,,,,,,
94,10/1/37,NA,NA,NA,NA,NA,NA,NA,-0.102922,,,,,,,,,,,,,,,,
95,11/1/37,NA,NA,NA,NA,NA,NA,NA,-0.084489,,,,,,,,,,,,,,,,
96,12/1/37,NA,NA,NA,NA,NA,NA,NA,-0.045828,,,,,,,,,,,,,,,,
97,1/1/38,NA,NA,NA,NA,NA,NA,NA,0.012163,,,,,,,,,,,,,,,,
98,2/1/38,NA,NA,NA,NA,NA,NA,NA,0.065757,,,,,,,,,,,,,,,,
99,3/1/38,NA,NA,NA,NA,NA,NA,NA,-0.254006,,,,,,,,,,,,,,,,
100,4/1/38,NA,NA,NA,NA,NA,NA,NA,0.142567,,,,,,,,,,,,,,,,
101,5/1/38,NA,NA,NA,NA,NA,NA,NA,-0.039973,,,,,,,,,,,,,,,,
102,6/1/38,NA,NA,NA,NA,NA,NA,NA,0.253519,,,,,,,,,,,,,,,,
103,7/1/38,NA,NA,NA,NA,NA,NA,NA,0.074838,,,,,,,,,,,,,,,,
104,8/1/38,NA,NA,NA,NA,NA,NA,NA,-0.025901,,,,,,,,,,,,,,,,
105,9/1/38,NA,NA,NA,NA,NA,NA,NA,0.016732,,,,,,,,,,,,,,,,
106,10/1/38,NA,NA,NA,NA,NA,NA,NA,0.07886,,,,,,,,,,,,,,,,
107,11/1/38,NA,NA,NA,NA,NA,NA,NA,-0.025607,,,,,,,,,,,,,,,,
108,12/1/38,NA,NA,NA,NA,NA,NA,NA,0.04481,,,,,,,,,,,,,,,,
109,1/1/39,NA,NA,NA,NA,NA,NA,NA,-0.070406,,,,,,,,,,,,,,,,
110,2/1/39,NA,NA,NA,NA,NA,NA,NA,0.039192,,,,,,,,,,,,,,,,
111,3/1/39,NA,NA,NA,NA,NA,NA,NA,-0.134721,,,,,,,,,,,,,,,,
112,4/1/39,NA,NA,NA,NA,NA,NA,NA,-0.006611,,,,,,,,,,,,,,,,
113,5/1/39,NA,NA,NA,NA,NA,NA,NA,0.069457,,,,,,,,,,,,,,,,
114,6/1/39,NA,NA,NA,NA,NA,NA,NA,-0.06191,,,,,,,,,,,,,,,,
115,7/1/39,NA,NA,NA,NA,NA,NA,NA,0.11131,,,,,,,,,,,,,,,,
116,8/1/39,NA,NA,NA,NA,NA,NA,NA,-0.067451,,,,,,,,,,,,,,,,
117,9/1/39,NA,NA,NA,NA,NA,NA,NA,0.181067,,,,,,,,,,,,,,,,
118,10/1/39,NA,NA,NA,NA,NA,NA,NA,-0.016887,,,,,,,,,,,,,,,,
119,11/1/39,NA,NA,NA,NA,NA,NA,NA,-0.040532,,,,,,,,,,,,,,,,
120,12/1/39,NA,NA,NA,NA,NA,NA,NA,0.028177,,,,,,,,,,,,,,,,
121,1/1/40,NA,NA,NA,NA,NA,NA,NA,-0.035927,,,,,,,,,,,,,,,,
122,2/1/40,NA,NA,NA,NA,NA,NA,NA,0.013139,,,,,,,,,,,,,,,,
123,3/1/40,NA,NA,NA,NA,NA,NA,NA,0.013561,,,,,,,,,,,,,,,,
124,4/1/40,NA,NA,NA,NA,NA,NA,NA,-0.004478,,,,,,,,,,,,,,,,
125,5/1/40,NA,NA,NA,NA,NA,NA,NA,-0.23128,,,,,,,,,,,,,,,,
126,6/1/40,NA,NA,NA,NA,NA,NA,NA,0.083035,,,,,,,,,,,,,,,,
127,7/1/40,NA,NA,NA,NA,NA,NA,NA,0.03299,,,,,,,,,,,,,,,,
128,8/1/40,NA,NA,NA,NA,NA,NA,NA,0.035521,,,,,,,,,,,,,,,,
129,9/1/40,NA,NA,NA,NA,NA,NA,NA,0.014221,,,,,,,,,,,,,,,,
130,10/1/40,NA,NA,NA,NA,NA,NA,NA,0.041468,,,,,,,,,,,,,,,,
131,11/1/40,NA,NA,NA,NA,NA,NA,NA,-0.029431,,,,,,,,,,,,,,,,
132,12/1/40,NA,NA,NA,NA,NA,NA,NA,0.002927,,,,,,,,,,,,,,,,
133,1/1/41,NA,NA,NA,NA,NA,NA,NA,-0.045455,,,,,,,,,,,,,,,,
134,2/1/41,NA,NA,NA,NA,NA,NA,NA,-0.004629,,,,,,,,,,,,,,,,
135,3/1/41,NA,NA,NA,NA,NA,NA,NA,0.008772,,,,,,,,,,,,,,,,
136,4/1/41,NA,NA,NA,NA,NA,NA,NA,-0.062052,,,,,,,,,,,,,,,,
137,5/1/41,NA,NA,NA,NA,NA,NA,NA,0.013184,,,,,,,,,,,,,,,,
138,6/1/41,NA,NA,NA,NA,NA,NA,NA,0.058851,,,,,,,,,,,,,,,,
139,7/1/41,NA,NA,NA,NA,NA,NA,NA,0.056806,,,,,,,,,,,,,,,,
140,8/1/41,NA,NA,NA,NA,NA,NA,NA,-0.001213,,,,,,,,,,,,,,,,
141,9/1/41,NA,NA,NA,NA,NA,NA,NA,-0.007451,,,,,,,,,,,,,,,,
142,10/1/41,NA,NA,NA,NA,NA,NA,NA,-0.064602,,,,,,,,,,,,,,,,
143,11/1/41,NA,NA,NA,NA,NA,NA,NA,-0.024916,,,,,,,,,,,,,,,,
144,12/1/41,NA,NA,NA,NA,NA,NA,NA,-0.038943,,,,,,,,,,,,,,,,
145,1/1/42,NA,NA,NA,NA,NA,NA,NA,0.022076,,,,,,,,,,,,,,,,
146,2/1/42,NA,NA,NA,NA,NA,NA,NA,-0.017747,,,,,,,,,,,,,,,,
147,3/1/42,NA,NA,NA,NA,NA,NA,NA,-0.064168,,,,,,,,,,,,,,,,
148,4/1/42,NA,NA,NA,NA,NA,NA,NA,-0.038088,,,,,,,,,,,,,,,,
149,5/1/42,NA,NA,NA,NA,NA,NA,NA,0.070039,,,,,,,,,,,,,,,,
150,6/1/42,NA,NA,NA,NA,NA,NA,NA,0.023344,,,,,,,,,,,,,,,,
151,7/1/42,NA,NA,NA,NA,NA,NA,NA,0.035731,,,,,,,,,,,,,,,,
152,8/1/42,NA,NA,NA,NA,NA,NA,NA,0.015046,,,,,,,,,,,,,,,,
153,9/1/42,NA,NA,NA,NA,NA,NA,NA,0.032149,,,,,,,,,,,,,,,,
154,10/1/42,NA,NA,NA,NA,NA,NA,NA,0.067567,,,,,,,,,,,,,,,,
155,11/1/42,NA,NA,NA,NA,NA,NA,NA,-0.004692,,,,,,,,,,,,,,,,
