,date,z_minus_3,z_minus_2,z_minus_1,z_0,z_1,z_2,z_3,Y,,,,,,,,,,,,,,,,
1,1/1/30,NA,NA,NA,NA,NA,NA,NA,0.058232,,,,,,,,,,,,,,,,
2,2/1/30,NA,NA,NA,NA,NA,NA,NA,0.023041,,,,,,,,,,,,,,,,
3,3/1/30,NA,NA,NA,NA,NA,NA,NA,0.068848,,,,,,,,,,,,,,,,
4,4/1/30,NA,NA,NA,NA,NA,NA,NA,-0.016038,,,,,,,,,,,,,,,,
5,5/1/30,NA,NA,NA,NA,NA,NA,NA,-0.013748,,,,,,,,,,,,,,,,
6,6/1/30,NA,NA,NA,NA,NA,NA,NA,-0.158415,,,,,,,,,,,,,,,,
7,7/1/30,NA,NA,NA,NA,NA,NA,NA,0.036713,,,,,,,,,,,,,,,,
8,8/1/30,NA,NA,NA,NA,NA,NA,NA,0.010366,,,,,,,,,,,,,,,,
9,9/1/30,NA,NA,NA,NA,NA,NA,NA,-0.125749,,,,,,,,,,,,,,,,
10,10/1/30,NA,NA,NA,NA,NA,NA,NA,-0.08458,,,,,,,,,,,,,,,,
11,11/1/30,NA,NA,NA,NA,NA,NA,NA,-0.021036,,,,,,,,,,,,,,,,
12,12/1/30,NA,NA,NA,NA,NA,NA,NA,-0.072879,,,,,,,,,,,,,,,,
13,1/1/31,NA,NA,NA,NA,NA,NA,NA,0.058027,,,,,,,,,,,,,,,,
14,2/1/31,NA,NA,NA,NA,NA,NA,NA,0.110543,,,,,,,,,,,,,,,,
15,3/1/31,NA,NA,NA,NA,NA,NA,NA,-0.070239,,,,,,,,,,,,,,,,
16,4/1/31,NA,NA,NA,NA,NA,NA,NA,-0.093755,,,,,,,,,,,,,,,,
17,5/1/31,NA,NA,NA,NA,NA,NA,NA,-0.138574,,,,,,,,,,,,,,,,
18,6/1/31,NA,NA,NA,NA,NA,NA,NA,0.145692,,,,,,,,,,,,,,,,
19,7/1/31,NA,NA,NA,NA,NA,NA,NA,-0.076065,,,,,,,,,,,,,,,,
20,8/1/31,NA,NA,NA,NA,NA,NA,NA,0.007479,,,,,,,,,,,,,,,,
21,9/1/31,NA,NA,NA,NA,NA,NA,NA,-0.287761,,,,,,,,,,,,,,,,
22,10/1/31,NA,NA,NA,NA,NA,NA,NA,0.075738,,,,,,,,,,,,,,,,
23,11/1/31,NA,NA,NA,NA,NA,NA,NA,-0.102609,,,,,,,,,,,,,,,,
24,12/1/31,NA,NA,NA,NA,NA,NA,NA,-0.138757,,,,,,,,,,,,,,,,
